5	2	12	29	5	0	7	2	2	1	0	0	0	2	4
5	3	10	15	2	1	16	6	0	2	0	0	0	3	2
5	4	7	13	1	1	10	2	0	1	0	0	0	3	2
5	5	5	19	5	2	6	1	0	2	16	10	0	4	3
5	6	4	10	1	1	6	2	0	0	2	6	0	2	0
5	7	1	2	0	0	0	0	0	0	0	0	0	0	0
5	8	1	3	0	0	0	0	0	0	0	0	0	0	0
5	9	1	5	2	0	2	1	0	1	16	10	0	11	1
5	10	0	0	0	0	0	0	0	0	0	0	0	0	0
5	11	0	0	0	0	0	0	0	0	3	1	2	11	1
5	12	0	1	0	0	4	2	0	1	0	0	0	7	2
5	13	0	0	0	0	0	0	0	0	0	0	0	0	0
5	14	0	0	0	0	0	0	0	0	0	0	0	0	0
5	15	0	0	0	0	0	0	0	0	0	0	0	0	0
5	16	22	45	5	3	9	2	1	2	0	0	0	2	2
5	17	9	22	2	1	4	3	1	3	9	11	0	16	1
5	18	4	9	2	0	6	4	0	2	0	0	0	4	2
5	19	4	10	2	5	15	8	0	2	0	0	0	2	3
5	20	7	20	1	1	7	3	0	0	9	11	1	5	0
5	21	0	0	0	0	2	0	0	0	1	3	0	0	0
5	22	0	0	0	0	0	0	0	0	0	0	0	0	0
5	23	1	1	0	0	3	0	0	0	0	0	1	11	2
5	24	0	0	0	0	0	0	0	0	0	0	0	0	0
5	25	0	0	0	0	0	0	0	0	0	4	0	3	0
5	26	0	0	0	0	0	0	0	0	0	0	0	0	0
5	27	0	0	0	0	0	0	0	0	6	3	0	11	1
5	28	0	0	0	0	0	0	0	0	0	0	0	0	0
5	29	0	0	0	0	0	0	0	0	0	0	0	0	0
